"","Date","Team","Goals","Assists","Points","Plusminus","PIM","PPG","PPP","SHG","SHP","GWG","OTG","Shots","TOI","Shifts","Year","season","Home","toi2","toi3","toi_seconds","opponent","opp_2","season2","opp_int","opp_int2"
"124","18-Oct","vs CAR",0,0,0,0,2,0,0,0,0,0,0,2,"20:09",25,2016,"1617",1,"00:20:09",00:20:09,1209,"CAR","OTHER","2","28","5"
"125","16-Oct","vs BUF",0,0,0,-1,0,0,0,0,0,0,0,1,"18:43",24,2016,"1617",1,"00:18:43",00:18:43,1123,"BUF","OTHER","2","14","5"
"126","14-Oct","@ CGY",1,2,3,2,2,0,2,0,0,0,0,2,"22:09",29,2016,"1617",0,"00:22:09",00:22:09,1329,"CGY","CGY","2","2","2"
"127","12-Oct","vs CGY",2,1,3,2,0,0,0,0,0,1,0,6,"23:27",32,2016,"1617",1,"00:23:27",00:23:27,1407,"CGY","CGY","2","2","2"
"128","07-Apr","vs VAN",0,2,2,1,0,0,1,0,0,0,0,4,"22:24",23,2018,"1718",1,"00:22:24",00:22:24,1344,"VAN","VAN","3","1","1"
"129","05-Apr","vs VGK",0,3,3,1,0,0,1,0,0,0,0,2,"20:49",19,2018,"1718",1,"00:20:49",00:20:49,1249,"VGK","OTHER","3","30","5"
"130","02-Apr","@ MIN",0,0,0,-3,0,0,0,0,0,0,0,4,"21:32",22,2018,"1718",0,"00:21:32",00:21:32,1292,"MIN","OTHER","3","10","5"
"131","31-Mar","@ CGY",0,0,0,-2,0,0,0,0,0,0,0,0,"22:47",23,2018,"1718",0,"00:22:47",00:22:47,1367,"CGY","CGY","3","2","2"
"132","29-Mar","@ VAN",1,0,1,1,0,0,0,0,0,0,0,4,"22:22",22,2018,"1718",0,"00:22:22",00:22:22,1342,"VAN","VAN","3","1","1"
"133","27-Mar","vs CBJ",1,2,3,-2,0,0,1,1,1,0,0,2,"17:25",20,2018,"1718",1,"00:17:25",00:17:25,1045,"CBJ","OTHER","3","12","5"
"134","25-Mar","vs ANA",1,2,3,0,0,0,1,0,0,0,0,4,"20:23",23,2018,"1718",1,"00:20:23",00:20:23,1223,"ANA","OTHER","3","3","5"
"135","24-Mar","vs LAK",2,0,2,2,0,0,0,0,0,1,0,5,"22:43",23,2018,"1718",1,"00:22:43",00:22:43,1363,"LAK","OTHER","3","4","5"
"136","22-Mar","@ OTT",2,2,4,4,0,0,0,0,0,0,0,5,"20:52",24,2018,"1718",0,"00:20:52",00:20:52,1252,"OTT","OTHER","3","16","5"
"137","20-Mar","@ CAR",0,1,1,-1,0,0,0,0,0,0,0,1,"18:38",19,2018,"1718",0,"00:18:38",00:18:38,1118,"CAR","OTHER","3","28","5"
"138","18-Mar","@ TBL",0,0,0,0,0,0,0,0,0,0,0,4,"24:16:00",20,2018,"1718",0,"00:24:16",00:24:16,1456,"TBL","OTHER","3","26","5"
"139","17-Mar","@ FLA",1,2,3,2,0,0,0,0,0,0,0,1,"19:39",23,2018,"1718",0,"00:19:39",00:19:39,1179,"FLA","OTHER","3","25","5"
"140","14-Mar","vs SJS",0,2,2,1,0,0,0,0,0,0,0,0,"22:07",24,2018,"1718",1,"00:22:07",00:22:07,1327,"SJS","OTHER","3","5","5"
"141","13-Mar","@ CGY",0,0,0,0,0,0,0,0,0,0,0,5,"24:41:00",21,2018,"1718",0,"00:24:41",00:24:41,1481,"CGY","CGY","3","2","2"
"142","10-Mar","vs MIN",2,1,3,2,0,1,1,0,0,1,0,3,"19:47",22,2018,"1718",1,"00:19:47",00:19:47,1187,"MIN","OTHER","3","10","5"
"143","08-Mar","vs NYI",1,0,1,0,0,0,0,0,0,0,0,9,"27:27:00",26,2018,"1718",1,"00:27:27",00:27:27,1647,"NYI","OTHER","3","15","5"
"144","05-Mar","vs ARI",0,1,1,1,0,0,0,0,0,0,0,7,"24:42:00",24,2018,"1718",1,"00:24:42",00:24:42,1482,"ARI","OTHER","3","6","5"
"145","03-Mar","vs NYR",1,1,2,1,0,0,0,0,0,0,0,1,"23:22",22,2018,"1718",1,"00:23:22",00:23:22,1402,"NYR","OTHER","3","29","5"
"146","01-Mar","vs NSH",1,1,2,-1,2,0,1,0,0,0,0,2,"19:08",22,2018,"1718",1,"00:19:08",00:19:08,1148,"NSH","OTHER","3","9","5"
"147","27-Feb","@ SJS",1,0,1,-2,0,0,0,0,0,0,0,4,"21:57",24,2018,"1718",0,"00:21:57",00:21:57,1317,"SJS","OTHER","3","5","5"
"148","25-Feb","@ ANA",0,3,3,2,0,0,0,0,0,0,0,7,"27:22:00",27,2018,"1718",0,"00:27:22",00:27:22,1642,"ANA","OTHER","3","3","5"
"149","24-Feb","@ LAK",0,0,0,0,0,0,0,0,0,0,0,3,"21:33",26,2018,"1718",0,"00:21:33",00:21:33,1293,"LAK","OTHER","3","4","5"
"150","22-Feb","vs COL",1,1,2,1,0,0,0,0,0,1,1,8,"23:37",24,2018,"1718",1,"00:23:37",00:23:37,1417,"COL","OTHER","3","7","5"
"151","20-Feb","vs BOS",0,0,0,-1,0,0,0,0,0,0,0,2,"19:01",20,2018,"1718",1,"00:19:01",00:19:01,1141,"BOS","OTHER","3","23","5"
"152","18-Feb","@ COL",3,0,3,3,0,0,0,0,0,0,0,5,"19:52",24,2018,"1718",0,"00:19:52",00:19:52,1192,"COL","OTHER","3","7","5"
"153","17-Feb","@ ARI",0,0,0,-1,0,0,0,0,0,0,0,2,"19:09",19,2018,"1718",0,"00:19:09",00:19:09,1149,"ARI","OTHER","3","6","5"
"154","15-Feb","@ VGK",0,0,0,-1,2,0,0,0,0,0,0,2,"18:36",21,2018,"1718",0,"00:18:36",00:18:36,1116,"VGK","OTHER","3","30","5"
"155","12-Feb","vs FLA",1,1,2,1,0,0,0,0,0,0,0,5,"21:05",24,2018,"1718",1,"00:21:05",00:21:05,1265,"FLA","OTHER","3","25","5"
"156","10-Feb","@ SJS",0,0,0,-1,0,0,0,0,0,0,0,2,"21:21",24,2018,"1718",0,"00:21:21",00:21:21,1281,"SJS","OTHER","3","5","5"
"157","09-Feb","@ ANA",0,1,1,-1,0,0,0,0,0,0,0,3,"21:06",22,2018,"1718",0,"00:21:06",00:21:06,1266,"ANA","OTHER","3","3","5"
"158","07-Feb","@ LAK",1,1,2,-1,0,0,1,0,0,0,0,2,"23:39",24,2018,"1718",0,"00:23:39",00:23:39,1419,"LAK","OTHER","3","4","5"
"159","05-Feb","vs TBL",4,1,5,3,0,1,2,0,0,1,0,9,"20:13",18,2018,"1718",1,"00:20:13",00:20:13,1213,"TBL","OTHER","3","26","5"
"160","01-Feb","vs COL",2,0,2,1,0,0,0,0,0,0,0,4,"21:33",23,2018,"1718",1,"00:21:33",00:21:33,1293,"COL","OTHER","3","7","5"
"161","25-Jan","vs CGY",0,1,1,0,10,0,0,0,0,0,0,7,"28:00:00",31,2018,"1718",1,"00:28:00",00:28:00,1680,"CGY","CGY","3","2","2"
"162","23-Jan","vs BUF",0,0,0,-1,0,0,0,0,0,0,0,3,"19:49",22,2018,"1718",1,"00:19:49",00:19:49,1189,"BUF","OTHER","3","14","5"
"163","20-Jan","vs VAN",0,1,1,1,0,0,0,0,0,0,0,3,"19:28",21,2018,"1718",1,"00:19:28",00:19:28,1168,"VAN","VAN","3","1","1"
"164","13-Jan","@ VGK",0,2,2,0,0,0,0,0,0,0,0,4,"25:23:00",30,2018,"1718",0,"00:25:23",00:25:23,1523,"VGK","OTHER","3","30","5"
"165","12-Jan","@ ARI",0,2,2,1,0,0,0,0,0,0,0,3,"21:00",22,2018,"1718",0,"00:21:00",00:21:00,1260,"ARI","OTHER","3","6","5"
"166","09-Jan","@ NSH",1,0,1,0,0,0,0,0,0,0,0,6,"24:11:00",25,2018,"1718",0,"00:24:11",00:24:11,1451,"NSH","OTHER","3","9","5"
"167","07-Jan","@ CHI",0,0,0,0,0,0,0,0,0,0,0,6,"21:07",25,2018,"1718",0,"00:21:07",00:21:07,1267,"CHI","OTHER","3","27","5"
"168","06-Jan","@ DAL",0,1,1,0,2,0,1,0,0,0,0,4,"20:03",21,2018,"1718",0,"00:20:03",00:20:03,1203,"DAL","OTHER","3","22","5"
"169","04-Jan","vs ANA",0,1,1,1,0,0,0,0,0,0,0,5,"24:04:00",30,2018,"1718",1,"00:24:04",00:24:04,1444,"ANA","OTHER","3","3","5"
"170","02-Jan","vs LAK",0,0,0,-1,0,0,0,0,0,0,0,2,"20:58",23,2018,"1718",1,"00:20:58",00:20:58,1258,"LAK","OTHER","3","4","5"
"171","31-Dec","vs WPG",0,0,0,0,0,0,0,0,0,0,0,3,"18:33",22,2017,"1718",1,"00:18:33",00:18:33,1113,"WPG","WPG","3","11","3"
"172","29-Dec","vs CHI",0,0,0,-2,0,0,0,0,0,0,0,5,"22:24",24,2017,"1718",1,"00:22:24",00:22:24,1344,"CHI","OTHER","3","27","5"
"173","27-Dec","@ WPG",0,2,2,1,0,0,0,0,1,0,0,1,"21:02",23,2017,"1718",0,"00:21:02",00:21:02,1262,"WPG","WPG","3","11","3"
"174","23-Dec","vs MTL",1,1,2,1,0,0,1,0,0,1,0,2,"19:01",22,2017,"1718",1,"00:19:01",00:19:01,1141,"MTL","MTL","3","19","4"
"175","21-Dec","vs STL",1,0,1,1,0,0,0,0,0,0,0,3,"19:27",25,2017,"1718",1,"00:19:27",00:19:27,1167,"STL","OTHER","3","8","5"
"176","18-Dec","vs SJS",0,0,0,2,0,0,0,0,0,0,0,1,"23:09",23,2017,"1718",1,"00:23:09",00:23:09,1389,"SJS","OTHER","3","5","5"
"177","16-Dec","@ MIN",0,1,1,1,0,0,0,0,0,0,0,3,"20:54",26,2017,"1718",0,"00:20:54",00:20:54,1254,"MIN","OTHER","3","10","5"
"178","14-Dec","vs NSH",0,0,0,-1,2,0,0,0,0,0,0,5,"20:53",23,2017,"1718",1,"00:20:53",00:20:53,1253,"NSH","OTHER","3","9","5"
"179","12-Dec","@ CBJ",1,3,4,3,0,0,1,0,0,0,0,5,"18:24",21,2017,"1718",0,"00:18:24",00:18:24,1104,"CBJ","OTHER","3","12","5"
"180","10-Dec","@ TOR",0,0,0,0,0,0,0,0,0,0,0,4,"23:37",21,2017,"1718",0,"00:23:37",00:23:37,1417,"TOR","OTHER","3","17","5"
"181","09-Dec","@ MTL",0,2,2,1,0,0,1,0,0,0,0,3,"17:59",21,2017,"1718",0,"00:17:59",00:17:59,1079,"MTL","MTL","3","19","4"
"182","06-Dec","vs PHI",0,1,1,0,0,0,0,0,1,0,0,1,"21:52",23,2017,"1718",1,"00:21:52",00:21:52,1312,"PHI","OTHER","3","13","5"
"183","02-Dec","@ CGY",0,1,1,2,0,0,0,0,0,0,0,2,"20:00",27,2017,"1718",0,"00:20:00",00:20:00,1200,"CGY","CGY","3","2","2"
"184","30-Nov","vs TOR",1,0,1,-1,0,0,0,0,0,0,0,3,"20:02",25,2017,"1718",1,"00:20:02",00:20:02,1202,"TOR","OTHER","3","17","5"
